n00001740	entity
n02369424	Heterocephalus, genus Heterocephalus
n02369555	sand rat
n02369680	naked mole rat
n02369935	queen, queen mole rat
n02370137	Damaraland mole rat
n02370265	dug
n02370360	udder, bag
n02370525	Ungulata
n02370806	ungulate, hoofed mammal
n02371125	Unguiculata
n02371344	unguiculate, unguiculate mammal
n02371471	Dinocerata, order Dinocerata
n02371647	Uintatheriidae, family Uintatheriidae
n02371801	Uintatherium, genus Uintatherium
n02372046	dinocerate
n02372140	dinoceras, uintathere
n02372251	Hyracoidea, order Hyracoidea
n02372397	Procaviidae, family Procaviidae
n02372584	hyrax, coney, cony, dassie, das
n02372813	Procavia, genus Procavia
n02372952	rock hyrax, rock rabbit, Procavia capensis
n02373093	Perissodactyla, order Perissodactyla
n02373336	odd-toed ungulate, perissodactyl, perissodactyl mammal
n02373601	Equidae, family Equidae
n02373843	Equus, genus Equus
n02374149	equine, equid
n02374451	horse, Equus caballus
n02375302	roan
n02375438	stablemate, stable companion
n02375592	Hyracotherium, genus Hyracotherium
n02375757	gee-gee
n02375862	eohippus, dawn horse
n02376016	genus Mesohippus
n02376135	mesohippus
n02376303	genus Protohippus
n02376423	protohippus
n02376542	foal
n02376679	filly
n02376791	colt
n02376918	male horse
n02377063	ridgeling, ridgling, ridgel, ridgil
n02377181	stallion, entire
n02377291	stud, studhorse
n02377388	gelding
n02377480	mare, female horse
n02377603	broodmare, stud mare
n02377703	saddle horse, riding horse, mount
n02378149	remount
n02378299	palfrey
n02378415	warhorse
n02378541	cavalry horse
n02378625	charger, courser
n02378755	steed
n02378870	prancer
n02378969	hack
n02379081	cow pony
n02379183	quarter horse
n02379329	Morgan
n02379430	Tennessee walker, Tennessee walking horse, Walking horse, Plantation walking horse
n02379630	American saddle horse
n02379743	Appaloosa
n02379908	Arabian, Arab
n02380052	Lippizan, Lipizzan, Lippizaner
n02380335	pony
n02380464	polo pony
n02380583	mustang
n02380745	bronco, bronc, broncho
n02380875	bucking bronco
n02381004	buckskin
n02381119	crowbait, crow-bait
n02381261	dun
n02381364	grey, gray
n02381460	wild horse
n02381609	tarpan, Equus caballus gomelini
n02381744	warrigal, warragal
n02381831	Przewalski's horse, Przevalski's horse, Equus caballus przewalskii, Equus caballus przevalskii
n02382039	cayuse, Indian pony
n02382132	hack
n02382204	hack, jade, nag, plug
n02382338	plow horse, plough horse
n02382437	pony
n02382635	Shetland pony
n02382750	Welsh pony
n02382850	Exmoor
n02382948	racehorse, race horse, bangtail
n02383231	thoroughbred
n02383604	Sir Barton
n02383708	Gallant Fox
n02383813	Omaha
n02383912	War Admiral
n02384017	Whirlaway
n02384120	Count Fleet
n02384225	Assault
n02384326	Citation
n02384428	Secretariat
n02384533	Seattle Slew
n02384639	Affirmed
n02384741	steeplechaser
n02384858	racer
n02385002	finisher
n02385098	pony
n02385214	yearling
n02385348	two-year-old horse, two year old
n02385461	three-year-old horse, three year old
n02385580	dark horse
n02385676	mudder
n02385776	nonstarter
n02385898	stalking-horse
n02386014	harness horse
n02386141	cob
n02386224	hackney
n02386310	workhorse
n02386496	draft horse, draught horse, dray horse
n02386746	packhorse
n02386853	carthorse, cart horse, drayhorse
n02386968	Clydesdale
n02387093	Percheron
n02387254	farm horse, dobbin
n02387346	shire, shire horse
n02387452	pole horse, poler
n02387581	wheel horse, wheeler
n02387722	post horse, post-horse, poster
n02387887	coach horse
n02387983	pacer
n02388143	pacer, pacemaker, pacesetter
n02388276	trotting horse, trotter
n02388453	pole horse
n02388588	stepper, high stepper
n02388735	chestnut
n02388832	liver chestnut
n02388917	bay
n02389026	sorrel
n02389128	palomino
n02389261	pinto
n02389346	ass
n02389559	domestic ass, donkey, Equus asinus
n02389779	burro
n02389865	moke
n02389943	jack, jackass
n02390015	jennet, jenny, jenny ass
n02390101	mule
n02390258	hinny
n02390454	wild ass
n02390640	African wild ass, Equus asinus
n02390738	kiang, Equus kiang
n02390834	onager, Equus hemionus
n02390938	chigetai, dziggetai, Equus hemionus hemionus
n02391049	zebra
n02391234	common zebra, Burchell's zebra, Equus Burchelli
n02391373	mountain zebra, Equus zebra zebra
n02391508	grevy's zebra, Equus grevyi
n02391617	quagga, Equus quagga
n02391782	Rhinocerotidae, family Rhinocerotidae, rhinoceros family
n02391994	rhinoceros, rhino
n02392282	genus Rhinoceros
n02392434	Indian rhinoceros, Rhinoceros unicornis
n02392555	woolly rhinoceros, Rhinoceros antiquitatis
n02392710	Ceratotherium, genus Ceratotherium
n02392824	white rhinoceros, Ceratotherium simum, Diceros simus
n02393024	Diceros, genus Diceros
n02393161	black rhinoceros, Diceros bicornis
n02393300	Tapiridae, family Tapiridae
n02393445	Tapirus, genus Tapirus
n02393580	tapir
n02393807	New World tapir, Tapirus terrestris
n02393940	Malayan tapir, Indian tapir, Tapirus indicus
n02394068	Artiodactyla, order Artiodactyla
n02394477	even-toed ungulate, artiodactyl, artiodactyl mammal
n02394822	Suidae, family Suidae
n02395003	swine
n02395244	Sus, genus Sus
n02395406	hog, pig, grunter, squealer, Sus scrofa
n02395694	piglet, piggy, shoat, shote
n02395855	sucking pig
n02395931	porker
n02396014	boar
n02396088	sow
n02396157	razorback, razorback hog, razorbacked hog
n02396427	wild boar, boar, Sus scrofa
n02396667	Babyrousa, genus Babyrousa
n02396796	babirusa, babiroussa, babirussa, Babyrousa Babyrussa
n02396970	Phacochoerus, genus Phacochoerus
n02397096	warthog
n02397251	Tayassuidae, family Tayassuidae
n02397377	Tayassu, genus Tayassu, genus Pecari
n02397529	peccary, musk hog
n02397744	collared peccary, javelina, Tayassu angulatus, Tayassu tajacu, Peccari angulatus
n02397987	white-lipped peccary, Tayassu pecari
n02398141	Chiacoan peccary
n02398252	Hippopotamidae, family Hippopotamidae
n02398386	genus Hippopotamus
n02398521	hippopotamus, hippo, river horse, Hippopotamus amphibius
n02398732	Ruminantia, suborder Ruminantia
n02399000	ruminant
n02399424	rumen, first stomach
n02399648	reticulum, second stomach
n02399791	psalterium, omasum, third stomach
n02399942	abomasum, fourth stomach
n02400139	Bovidae, family Bovidae
n02401031	bovid
n02401305	Bovinae, subfamily Bovinae
n02401509	Bovini, tribe Bovini
n02401661	Bos, genus Bos
n02402010	bovine
n02402175	ox, wild ox
n02402425	cattle, cows, kine, oxen, Bos taurus
n02403003	ox
n02403153	stirk
n02403231	bullock, steer
n02403325	bull
n02403454	cow, moo-cow
n02403644	springer, springing cow
n02403740	heifer
n02403820	bullock
n02403920	dogie, dogy, leppy
n02404028	maverick
n02404186	beef, beef cattle
n02404432	longhorn, Texas longhorn
n02404573	Brahman, Brahma, Brahmin, Bos indicus
n02404906	zebu
n02405101	aurochs, urus, Bos primigenius
n02405302	yak, Bos grunniens
n02405440	banteng, banting, tsine, Bos banteng
n02405577	Welsh, Welsh Black
n02405692	red poll
n02405799	Santa Gertrudis
n02405929	Aberdeen Angus, Angus, black Angus
n02406046	Africander
n02406174	dairy cattle, dairy cow, milch cow, milk cow, milcher, milker
n02406432	Ayrshire
n02406533	Brown Swiss
n02406647	Charolais
n02406749	Jersey
n02406859	Devon
n02406952	grade
n02407071	Durham, shorthorn
n02407172	milking shorthorn
n02407276	Galloway
n02407390	Friesian, Holstein, Holstein-Friesian
n02407521	Guernsey
n02407625	Hereford, whiteface
n02407763	cattalo, beefalo
n02407959	Old World buffalo, buffalo
n02408217	Bubalus, genus Bubalus, tribe Bubalus
n02408429	water buffalo, water ox, Asiatic buffalo, Bubalus bubalis
n02408660	Indian buffalo
n02408817	carabao
n02408903	genus Anoa
n02409038	anoa, dwarf buffalo, Anoa depressicornis
n02409202	tamarau, tamarao, Bubalus mindorensis, Anoa mindorensis
n02409369	Synercus, genus Synercus, tribe synercus
n02409508	Cape buffalo, Synercus caffer
n02409702	Bibos, genus Bibos
n02409870	Asian wild ox
n02410011	gaur, Bibos gaurus
n02410141	gayal, mithan, Bibos frontalis
n02410313	genus Bison
n02410509	bison
n02410702	American bison, American buffalo, buffalo, Bison bison
n02410900	wisent, aurochs, Bison bonasus
n02411075	Ovibos, genus Ovibos
n02411206	musk ox, musk sheep, Ovibos moschatus
n02411427	Ovis, genus Ovis
n02411705	sheep
n02411999	ewe
n02412080	ram, tup
n02412210	wether
n02412337	bellwether
n02412440	lamb
n02412629	lambkin
n02412700	baa-lamb
n02412787	hog, hogget, hogg
n02412909	teg
n02412977	Persian lamb
n02413050	black sheep
n02413131	domestic sheep, Ovis aries
n02413484	Cotswold
n02413593	Hampshire, Hampshire down
n02413717	Lincoln
n02413824	Exmoor
n02413917	Cheviot
n02414043	broadtail, caracul, karakul
n02414209	longwool
n02414290	merino, merino sheep
n02414442	Rambouillet
n02414578	wild sheep
n02414763	argali, argal, Ovis ammon
n02414904	Marco Polo sheep, Marco Polo's sheep, Ovis poli
n02415130	urial, Ovis vignei
n02415253	Dall sheep, Dall's sheep, white sheep, Ovis montana dalli
n02415435	mountain sheep
n02415577	bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis
n02415829	mouflon, moufflon, Ovis musimon
n02415971	Ammotragus, genus Ammotragus
n02416104	aoudad, arui, audad, Barbary sheep, maned sheep, Ammotragus lervia
n02416270	beard
n02416410	Capra, genus Capra
n02416519	goat, caprine animal
n02416820	kid
n02416880	billy, billy goat, he-goat
n02416964	nanny, nanny-goat, she-goat
n02417070	domestic goat, Capra hircus
n02417242	Cashmere goat, Kashmir goat
n02417387	Angora, Angora goat
n02417534	wild goat
n02417663	bezoar goat, pasang, Capra aegagrus
n02417785	markhor, markhoor, Capra falconeri
n02417914	ibex, Capra ibex
n02418064	goat antelope
n02418341	Oreamnos, genus Oreamnos
n02418465	mountain goat, Rocky Mountain goat, Oreamnos americanus
n02418648	Naemorhedus, genus Naemorhedus
n02418770	goral, Naemorhedus goral
n02418934	Capricornis, genus Capricornis
n02419056	serow
n02419217	Rupicapra, genus Rupicapra
n02419336	chamois, Rupicapra rupicapra
n02419515	Budorcas, genus Budorcas
n02419634	takin, gnu goat, Budorcas taxicolor
n02419796	antelope
n02420389	Antilope, genus Antilope
n02420509	blackbuck, black buck, Antilope cervicapra
n02420675	Litocranius, genus Litocranius
n02420828	gerenuk, Litocranius walleri
n02420994	genus Addax
n02421136	addax, Addax nasomaculatus
n02421308	Connochaetes, genus Connochaetes
n02421449	gnu, wildebeest
n02421612	Madoqua, genus Madoqua
n02421792	dik-dik
n02421962	Alcelaphus, genus Alcelaphus
n02422106	hartebeest
n02422249	Damaliscus, genus Damaliscus
n02422391	sassaby, topi, Damaliscus lunatus
n02422561	Aepyceros, genus Aepyceros
n02422699	impala, Aepyceros melampus
n02422860	Gazella, genus Gazella
n02423022	gazelle
n02423218	Thomson's gazelle, Gazella thomsoni
n02423362	Gazella subgutturosa
n02423465	Antidorcas, genus Antidorcas
n02423589	springbok, springbuck, Antidorcas marsupialis, Antidorcas euchore
n02423787	Tragelaphus, genus Tragelaphus, Strepsiceros, genus Strepsiceros
n02424085	bongo, Tragelaphus eurycerus, Boocercus eurycerus
n02424305	kudu, koodoo, koudou
n02424486	greater kudu, Tragelaphus strepsiceros
n02424589	lesser kudu, Tragelaphus imberbis
n02424695	harnessed antelope
n02424909	nyala, Tragelaphus angasi
n02425086	mountain nyala, Tragelaphus buxtoni
n02425228	bushbuck, guib, Tragelaphus scriptus
n02425393	Boselaphus, genus Boselaphus
n02425532	nilgai, nylghai, nylghau, blue bull, Boselaphus tragocamelus
n02425756	Hippotragus, genus Hippotragus
n02425887	sable antelope, Hippotragus niger
n02426054	genus Saiga
n02426176	saiga, Saiga tatarica
n02426339	Raphicerus, genus Raphicerus
n02426481	steenbok, steinbok, Raphicerus campestris
n02426634	Taurotragus, genus Taurotragus
n02426813	eland
n02427032	common eland, Taurotragus oryx
n02427183	giant eland, Taurotragus derbianus
n02427337	Kobus, genus Kobus
n02427470	kob, Kobus kob
n02427576	lechwe, Kobus leche
n02427724	waterbuck
n02427958	Adenota, genus Adenota
n02428089	puku, Adenota vardoni
n02428229	genus Oryx
n02428349	oryx, pasang
n02428508	gemsbok, gemsbuck, Oryx gazella
n02428653	Pseudoryx, genus Pseudoryx
n02428842	forest goat, spindle horn, Pseudoryx nghetinhensis
n02429123	Antilocapridae, family Antilocapridae
n02429276	Antilocapra, genus Antilocapra
n02429456	pronghorn, prongbuck, pronghorn antelope, American antelope, Antilocapra americana
n02429695	Cervidae, family Cervidae
n02430045	deer, cervid
n02430559	stag
n02430643	royal, royal stag
n02430748	pricket
n02430830	fawn
n02430929	Cervus, genus Cervus
n02431122	red deer, elk, American elk, wapiti, Cervus elaphus
n02431337	hart, stag
n02431441	hind
n02431542	brocket
n02431628	sambar, sambur, Cervus unicolor
n02431785	wapiti, elk, American elk, Cervus elaphus canadensis
n02431976	Japanese deer, sika, Cervus nipon, Cervus sika
n02432139	Odocoileus, genus Odocoileus
n02432291	Virginia deer, white tail, whitetail, white-tailed deer, whitetail deer, Odocoileus Virginianus
n02432511	mule deer, burro deer, Odocoileus hemionus
n02432704	black-tailed deer, blacktail deer, blacktail, Odocoileus hemionus columbianus
n02432867	Alces, genus Alces
n02432983	elk, European elk, moose, Alces alces
n02433205	Dama, genus Dama
n02433318	fallow deer, Dama dama
n02433426	Capreolus, genus Capreolus
n02433546	roe deer, Capreolus capreolus
n02433729	roebuck
n02433796	Rangifer, genus Rangifer
n02433925	caribou, reindeer, Greenland caribou, Rangifer tarandus
n02434190	woodland caribou, Rangifer caribou
n02434415	barren ground caribou, Rangifer arcticus
n02434598	Mazama, genus Mazama
n02434712	brocket
n02434834	Muntiacus, genus Muntiacus
n02434954	muntjac, barking deer
n02435099	Moschus, genus Moschus
n02435216	musk deer, Moschus moschiferus
n02435386	Elaphurus, genus Elaphurus
n02435517	pere david's deer, elaphure, Elaphurus davidianus
n02435689	Tragulidae, family Tragulidae
n02435853	chevrotain, mouse deer
n02436067	Tragulus, genus Tragulus
n02436224	kanchil, Tragulus kanchil
n02436353	napu, Tragulus Javanicus
n02436514	Hyemoschus, genus Hyemoschus
n02436645	water chevrotain, water deer, Hyemoschus aquaticus
n02436813	Camelidae, family Camelidae
n02436993	Camelus, genus Camelus
n02437136	camel
n02437312	Arabian camel, dromedary, Camelus dromedarius
n02437482	Bactrian camel, Camelus bactrianus
n02437616	llama
n02437825	Lama, genus Lama
n02437971	domestic llama, Lama peruana
n02438173	guanaco, Lama guanicoe
n02438272	alpaca, Lama pacos
n02438452	Vicugna, genus Vicugna
n02438580	vicuna, Vicugna vicugna
n02438774	Giraffidae, family Giraffidae
n02438897	Giraffa, genus Giraffa
n02439033	giraffe, camelopard, Giraffa camelopardalis
n02439286	Okapia, genus Okapia
n02439398	okapi, Okapia johnstoni
n02439568	trotter
n02439728	forefoot
n02439829	hindfoot
n02439929	paw
n02440121	forepaw
n02440250	hand
n02440523	pad
n02440705	Mustelidae, family Mustelidae
n02441326	musteline mammal, mustelid, musteline
n02441723	Mustela, genus Mustela
n02441942	weasel
n02442172	ermine, shorttail weasel, Mustela erminea
n02442336	stoat
n02442446	New World least weasel, Mustela rixosa
n02442572	Old World least weasel, Mustela nivalis
n02442668	longtail weasel, long-tailed weasel, Mustela frenata
n02442845	mink
n02443015	American mink, Mustela vison
n02443114	polecat, fitch, foulmart, foumart, Mustela putorius
n02443346	ferret
n02443484	black-footed ferret, ferret, Mustela nigripes
n02443683	Poecilogale, genus Poecilogale
n02443808	muishond
n02443959	snake muishond, Poecilogale albinucha
n02444103	Ictonyx, genus Ictonyx
n02444251	striped muishond, Ictonyx striata
n02444384	zoril, Ictonyx frenata
n02444500	Lutrinae, subfamily Lutrinae
n02444647	Lutra, genus Lutra
n02444819	otter
n02445004	river otter, Lutra canadensis
n02445171	Eurasian otter, Lutra lutra
n02445276	Enhydra, genus Enhydra
n02445394	sea otter, Enhydra lutris
n02445564	Mephitinae, subfamily Mephitinae
n02445715	skunk, polecat, wood pussy
n02446014	Mephitis, genus Mephitis
n02446206	striped skunk, Mephitis mephitis
n02446352	hooded skunk, Mephitis macroura
n02446512	Conepatus, genus Conepatus
n02446645	hog-nosed skunk, hognosed skunk, badger skunk, rooter skunk, Conepatus leuconotus
n02446888	Spilogale, genus Spilogale
n02447021	spotted skunk, little spotted skunk, Spilogale putorius
n02447220	Melinae, subfamily Melinae
n02447366	badger
n02447591	Taxidea, genus Taxidea
n02447762	American badger, Taxidea taxus
n02447896	Meles, genus Meles
n02448060	Eurasian badger, Meles meles
n02448200	Mellivora, genus Mellivora
n02448318	ratel, honey badger, Mellivora capensis
n02448502	Melogale, genus Melogale
n02448633	ferret badger
n02448754	Arctonyx, genus Arctonyx
n02448885	hog badger, hog-nosed badger, sand badger, Arctonyx collaris
n02449060	Gulo, genus Gulo
n02449183	wolverine, carcajou, skunk bear, Gulo luscus
n02449350	glutton, Gulo gulo, wolverine
n02449464	genus Grison
n02449582	genus Galictis
n02449699	grison, Grison vittatus, Galictis vittatus
n02449921	Martes, genus Martes
n02450034	marten, marten cat
n02450295	pine marten, Martes martes
n02450426	sable, Martes zibellina
n02450561	American marten, American sable, Martes americana
n02450677	stone marten, beech marten, Martes foina
n02450829	fisher, pekan, fisher cat, black cat, Martes pennanti
n02450992	Charronia, genus Charronia
n02451125	yellow-throated marten, Charronia flavigula
n02451292	Eira, genus Eira
n02451415	tayra, taira, Eira barbara
n02451575	fictional animal
n02451818	Easter bunny
n02451912	church mouse
n02452014	Mickey Mouse
n02452138	Minnie Mouse
n02452225	Donald Duck
